FID	IID	Trait	Pop	PGS
NA18873	NA18873	ieu-b-4813	AFR	543.545
NA18874	NA18874	ieu-b-4813	AFR	227.773
NA18876	NA18876	ieu-b-4813	AFR	-842.223
NA18877	NA18877	ieu-b-4813	AFR	-28.4434
NA18878	NA18878	ieu-b-4813	AFR	177.777
NA18879	NA18879	ieu-b-4813	AFR	269.442
NA18881	NA18881	ieu-b-4813	AFR	-338.42
NA18907	NA18907	ieu-b-4813	AFR	-972.877
NA18908	NA18908	ieu-b-4813	AFR	562.856
NA18909	NA18909	ieu-b-4813	AFR	-321.146
NA18910	NA18910	ieu-b-4813	AFR	410.593
NA18912	NA18912	ieu-b-4813	AFR	-552.67
NA18915	NA18915	ieu-b-4813	AFR	-1467.28
NA18916	NA18916	ieu-b-4813	AFR	-396.334
NA18917	NA18917	ieu-b-4813	AFR	844.827
NA18923	NA18923	ieu-b-4813	AFR	-36.1749
NA18924	NA18924	ieu-b-4813	AFR	242.43
NA18933	NA18933	ieu-b-4813	AFR	-811.648
NA18934	NA18934	ieu-b-4813	AFR	-162.486
NA19017	NA19017	ieu-b-4813	AFR	575.337
NA19019	NA19019	ieu-b-4813	AFR	-408.61
NA19020	NA19020	ieu-b-4813	AFR	-469.32
NA19023	NA19023	ieu-b-4813	AFR	466.795
NA19024	NA19024	ieu-b-4813	AFR	-36.4103
NA19025	NA19025	ieu-b-4813	AFR	661.743
NA19026	NA19026	ieu-b-4813	AFR	501.849
NA19027	NA19027	ieu-b-4813	AFR	-605.003
NA19028	NA19028	ieu-b-4813	AFR	-585.098
NA19030	NA19030	ieu-b-4813	AFR	1087.59
NA19031	NA19031	ieu-b-4813	AFR	-104.139
NA19035	NA19035	ieu-b-4813	AFR	394.129
NA19036	NA19036	ieu-b-4813	AFR	-1119.16
NA19037	NA19037	ieu-b-4813	AFR	433.654
NA19038	NA19038	ieu-b-4813	AFR	-440.522
NA19041	NA19041	ieu-b-4813	AFR	43.7976
NA19042	NA19042	ieu-b-4813	AFR	-617.391
NA19043	NA19043	ieu-b-4813	AFR	95.2267
NA19092	NA19092	ieu-b-4813	AFR	666.445
NA19093	NA19093	ieu-b-4813	AFR	145.481
NA19095	NA19095	ieu-b-4813	AFR	-642.996
NA19096	NA19096	ieu-b-4813	AFR	-12.4549
NA19098	NA19098	ieu-b-4813	AFR	-1006.65
NA19099	NA19099	ieu-b-4813	AFR	1111.39
NA19102	NA19102	ieu-b-4813	AFR	708.304
NA19107	NA19107	ieu-b-4813	AFR	-443.023
NA19108	NA19108	ieu-b-4813	AFR	182.286
NA19113	NA19113	ieu-b-4813	AFR	-551.382
NA19114	NA19114	ieu-b-4813	AFR	157.749
NA19116	NA19116	ieu-b-4813	AFR	-391.248
NA19117	NA19117	ieu-b-4813	AFR	350.164
NA19118	NA19118	ieu-b-4813	AFR	-370.09
NA19119	NA19119	ieu-b-4813	AFR	152.411
NA19121	NA19121	ieu-b-4813	AFR	-825.922
NA19129	NA19129	ieu-b-4813	AFR	142.411
NA19130	NA19130	ieu-b-4813	AFR	48.5201
NA19131	NA19131	ieu-b-4813	AFR	475.72
NA19137	NA19137	ieu-b-4813	AFR	757.69
NA19138	NA19138	ieu-b-4813	AFR	1246.83
NA19141	NA19141	ieu-b-4813	AFR	-433.417
NA19143	NA19143	ieu-b-4813	AFR	-445.452
NA19144	NA19144	ieu-b-4813	AFR	-171.861
NA19146	NA19146	ieu-b-4813	AFR	194.691
NA19147	NA19147	ieu-b-4813	AFR	-482.843
NA19149	NA19149	ieu-b-4813	AFR	-172.679
NA19152	NA19152	ieu-b-4813	AFR	384.323
NA19153	NA19153	ieu-b-4813	AFR	357.696
NA19159	NA19159	ieu-b-4813	AFR	-133.022
NA19160	NA19160	ieu-b-4813	AFR	-55.7838
NA19171	NA19171	ieu-b-4813	AFR	214.537
NA19172	NA19172	ieu-b-4813	AFR	-1699.27
NA19175	NA19175	ieu-b-4813	AFR	-768.601
NA19184	NA19184	ieu-b-4813	AFR	326.301
NA19185	NA19185	ieu-b-4813	AFR	-381.604
NA19189	NA19189	ieu-b-4813	AFR	380.794
NA19190	NA19190	ieu-b-4813	AFR	191.001
NA19197	NA19197	ieu-b-4813	AFR	427.641
NA19198	NA19198	ieu-b-4813	AFR	106.776
NA19200	NA19200	ieu-b-4813	AFR	869.458
NA19201	NA19201	ieu-b-4813	AFR	1170.43
